;Covid-19-Coronavac-Sinovac/Butantan;Covid-19-AstraZeneca
2021-02-17;0.0;
2021-02-18;0.0;
2021-02-19;3.3333333333333335;
2021-02-20;2.7777777777777777;
2021-02-21;2.7777777777777777;
2021-02-22;2.7777777777777777;
2021-02-23;2.7777777777777777;
2021-02-24;0.0;
2021-02-25;0.0;
2021-02-26;0.0;
2021-02-27;0.0;
2021-02-28;0.0;
2021-03-01;0.0;
2021-03-02;0.0;
2021-03-03;0.0;
2021-03-04;0.0;
2021-03-05;0.0;
2021-03-06;0.0;
2021-03-07;0.0;
2021-03-08;0.0;
2021-03-09;0.0;
2021-03-10;0.0;
2021-03-11;0.0;
2021-03-12;0.0;
2021-03-13;0.0;
2021-03-14;0.0;
2021-03-15;0.0;
2021-03-16;4.545454545454546;
2021-03-17;2.7777777777777777;
2021-03-18;2.4691358024691357;
2021-03-19;2.0618556701030926;
2021-03-20;2.0618556701030926;
2021-03-21;2.0618556701030926;
2021-03-22;2.0618556701030926;
2021-03-23;2.0618556701030926;
2021-03-24;1.8691588785046729;
2021-03-25;1.8691588785046729;
2021-03-26;1.8691588785046729;
2021-03-27;1.8691588785046729;
2021-03-28;1.8691588785046729;
2021-03-29;1.8691588785046729;
2021-03-30;1.680672268907563;
2021-03-31;1.36986301369863;
2021-04-01;1.3245033112582782;
2021-04-02;1.3245033112582782;
2021-04-03;1.948051948051948;
2021-04-04;1.948051948051948;
2021-04-05;1.948051948051948;
2021-04-06;1.2987012987012987;
2021-04-07;1.2987012987012987;
2021-04-08;0.0;
2021-04-09;0.0;
2021-04-10;0.0;
2021-04-11;0.0;
2021-04-12;0.0;
2021-04-13;0.0;
2021-04-14;0.0;
2021-04-15;0.0;
2021-04-16;0.0;
2021-04-17;0.0;
2021-04-18;0.0;
2021-04-19;0.0;
2021-04-20;0.0;
2021-04-21;0.0;
2021-04-22;0.0;
2021-04-23;0.0;
2021-04-24;0.0;
2021-04-25;0.0;
2021-04-26;0.0;
2021-04-27;0.0;
2021-04-28;0.0;
2021-04-29;0.0;
2021-04-30;0.0;
2021-05-01;0.0;
2021-05-02;0.0;
2021-05-03;0.0;
2021-05-04;0.0;
2021-04-28;;100.0
2021-04-29;;0.0
2021-04-30;;0.0
2021-05-01;;0.0
2021-05-02;;0.0
2021-05-03;;0.0
2021-05-04;;0.0
