Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;108
1ªDose;2021-01-21;243
1ªDose;2021-01-22;168
1ªDose;2021-01-26;16
1ªDose;2021-01-27;51
1ªDose;2021-01-31;2
1ªDose;2021-02-01;1
1ªDose;2021-02-04;1
1ªDose;2021-02-05;101
1ªDose;2021-02-08;199
1ªDose;2021-02-09;28
1ªDose;2021-02-10;252
1ªDose;2021-02-11;63
1ªDose;2021-02-12;117
1ªDose;2021-02-13;207
1ªDose;2021-02-15;43
1ªDose;2021-02-16;383
1ªDose;2021-02-17;101
1ªDose;2021-02-18;250
1ªDose;2021-02-19;15
1ªDose;2021-02-22;11
1ªDose;2021-02-23;14
1ªDose;2021-02-24;13
1ªDose;2021-02-25;11
1ªDose;2021-02-26;1
1ªDose;2021-03-01;3
1ªDose;2021-03-02;326
1ªDose;2021-03-03;267
1ªDose;2021-03-04;430
1ªDose;2021-03-05;83
1ªDose;2021-03-08;30
1ªDose;2021-03-09;22
1ªDose;2021-03-10;534
1ªDose;2021-03-11;61
1ªDose;2021-03-12;19
1ªDose;2021-03-15;51
1ªDose;2021-03-16;34
1ªDose;2021-03-17;539
1ªDose;2021-03-18;34
1ªDose;2021-03-19;49
1ªDose;2021-03-21;1
1ªDose;2021-03-22;14
1ªDose;2021-03-23;40
1ªDose;2021-03-24;1291
1ªDose;2021-03-25;198
1ªDose;2021-03-26;46
1ªDose;2021-03-29;65
1ªDose;2021-03-30;790
1ªDose;2021-03-31;1741
1ªDose;2021-04-01;52
1ªDose;2021-04-05;71
1ªDose;2021-04-06;38
1ªDose;2021-04-07;626
1ªDose;2021-04-08;83
1ªDose;2021-04-09;34
1ªDose;2021-04-12;4
1ªDose;2021-04-13;2
1ªDose;2021-04-14;637
1ªDose;2021-04-15;65
1ªDose;2021-04-16;32
1ªDose;2021-04-19;17
1ªDose;2021-04-20;549
1ªDose;2021-04-21;718
1ªDose;2021-04-22;1206
1ªDose;2021-04-23;76
1ªDose;2021-04-24;1
1ªDose;2021-04-26;51
1ªDose;2021-04-27;13
1ªDose;2021-04-28;772
1ªDose;2021-04-29;636
1ªDose;2021-04-30;1
2ªDose;2021-02-05;5
2ªDose;2021-02-09;141
2ªDose;2021-02-10;94
2ªDose;2021-02-11;45
2ªDose;2021-02-12;89
2ªDose;2021-02-13;1
2ªDose;2021-02-15;22
2ªDose;2021-02-16;16
2ªDose;2021-02-17;2
2ªDose;2021-02-18;11
2ªDose;2021-02-19;38
2ªDose;2021-02-22;21
2ªDose;2021-02-23;6
2ªDose;2021-02-24;15
2ªDose;2021-02-25;108
2ªDose;2021-02-26;80
2ªDose;2021-03-01;79
2ªDose;2021-03-02;224
2ªDose;2021-03-03;63
2ªDose;2021-03-04;25
2ªDose;2021-03-05;41
2ªDose;2021-03-08;16
2ªDose;2021-03-09;22
2ªDose;2021-03-10;25
2ªDose;2021-03-11;12
2ªDose;2021-03-12;11
2ªDose;2021-03-15;18
2ªDose;2021-03-16;16
2ªDose;2021-03-17;12
2ªDose;2021-03-18;132
2ªDose;2021-03-19;184
2ªDose;2021-03-22;5
2ªDose;2021-03-23;3
2ªDose;2021-03-24;10
2ªDose;2021-03-25;488
2ªDose;2021-03-26;70
2ªDose;2021-03-29;21
2ªDose;2021-03-30;33
2ªDose;2021-03-31;13
2ªDose;2021-04-01;478
2ªDose;2021-04-05;79
2ªDose;2021-04-06;28
2ªDose;2021-04-07;8
2ªDose;2021-04-08;642
2ªDose;2021-04-09;250
2ªDose;2021-04-12;116
2ªDose;2021-04-13;60
2ªDose;2021-04-14;22
2ªDose;2021-04-15;1688
2ªDose;2021-04-16;262
2ªDose;2021-04-19;123
2ªDose;2021-04-20;87
2ªDose;2021-04-21;22
2ªDose;2021-04-22;111
2ªDose;2021-04-23;425
2ªDose;2021-04-26;122
2ªDose;2021-04-27;290
2ªDose;2021-04-28;198
2ªDose;2021-04-29;71
2ªDose;2021-04-30;274
