Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;22
1ªDose;2021-01-25;1
1ªDose;2021-01-26;15
1ªDose;2021-01-27;5
1ªDose;2021-01-28;1
1ªDose;2021-02-03;32
1ªDose;2021-02-04;14
1ªDose;2021-02-05;7
1ªDose;2021-02-08;35
1ªDose;2021-02-09;10
1ªDose;2021-02-11;1
1ªDose;2021-02-12;108
1ªDose;2021-02-15;36
1ªDose;2021-02-17;5
1ªDose;2021-02-18;3
1ªDose;2021-02-22;10
1ªDose;2021-02-25;1
1ªDose;2021-02-26;4
1ªDose;2021-03-01;3
1ªDose;2021-03-03;65
1ªDose;2021-03-04;88
1ªDose;2021-03-05;83
1ªDose;2021-03-06;3
1ªDose;2021-03-08;5
1ªDose;2021-03-09;22
1ªDose;2021-03-10;9
1ªDose;2021-03-11;15
1ªDose;2021-03-12;18
1ªDose;2021-03-15;8
1ªDose;2021-03-16;7
1ªDose;2021-03-17;84
1ªDose;2021-03-18;34
1ªDose;2021-03-19;34
1ªDose;2021-03-22;10
1ªDose;2021-03-23;59
1ªDose;2021-03-24;80
1ªDose;2021-03-25;154
1ªDose;2021-03-26;147
1ªDose;2021-03-29;272
1ªDose;2021-03-30;362
1ªDose;2021-03-31;169
1ªDose;2021-04-01;67
1ªDose;2021-04-05;231
1ªDose;2021-04-06;79
1ªDose;2021-04-07;19
1ªDose;2021-04-08;8
1ªDose;2021-04-09;37
1ªDose;2021-04-12;1
1ªDose;2021-04-13;17
1ªDose;2021-04-14;25
1ªDose;2021-04-19;3
1ªDose;2021-04-20;21
1ªDose;2021-04-22;6
1ªDose;2021-04-23;3
1ªDose;2021-04-26;10
1ªDose;2021-04-27;15
1ªDose;2021-04-28;1
2ªDose;2021-02-03;1
2ªDose;2021-02-05;44
2ªDose;2021-02-08;7
2ªDose;2021-02-09;9
2ªDose;2021-02-10;4
2ªDose;2021-02-11;1
2ªDose;2021-02-12;2
2ªDose;2021-02-15;1
2ªDose;2021-02-17;27
2ªDose;2021-02-18;23
2ªDose;2021-02-19;6
2ªDose;2021-02-22;35
2ªDose;2021-02-23;11
2ªDose;2021-02-25;1
2ªDose;2021-02-26;97
2ªDose;2021-03-01;44
2ªDose;2021-03-03;8
2ªDose;2021-03-04;1
2ªDose;2021-03-09;1
2ªDose;2021-03-10;1
2ªDose;2021-03-11;2
2ªDose;2021-03-12;4
2ªDose;2021-03-15;4
2ªDose;2021-03-16;2
2ªDose;2021-03-17;59
2ªDose;2021-03-18;59
2ªDose;2021-03-19;68
2ªDose;2021-03-22;18
2ªDose;2021-03-23;29
2ªDose;2021-03-24;12
2ªDose;2021-03-25;14
2ªDose;2021-03-26;17
2ªDose;2021-03-29;8
2ªDose;2021-03-30;9
2ªDose;2021-03-31;49
2ªDose;2021-04-01;39
2ªDose;2021-04-05;71
2ªDose;2021-04-06;24
2ªDose;2021-04-08;1
2ªDose;2021-04-09;2
2ªDose;2021-04-12;9
2ªDose;2021-04-13;2
2ªDose;2021-04-14;2
2ªDose;2021-04-19;6
2ªDose;2021-04-20;101
2ªDose;2021-04-21;2
2ªDose;2021-04-22;150
2ªDose;2021-04-23;138
2ªDose;2021-04-24;1
2ªDose;2021-04-26;108
2ªDose;2021-04-27;302
2ªDose;2021-04-28;155
2ªDose;2021-04-29;9
2ªDose;2021-04-30;3
