;neg-Covid-19-AstraZeneca;neg-Covid-19-Coronavac-Sinovac/Butantan;neg-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer;nul-Covid-19-AstraZeneca;nul-Covid-19-Coronavac-Sinovac/Butantan;nul-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer;pos-Covid-19-AstraZeneca;pos-Covid-19-Coronavac-Sinovac/Butantan;pos-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer
2021-01-17;0.0;0.0;0.0;;;;;;
2021-01-18;0.0;0.0;0.0;;;;;;
2021-01-19;0.0;0.0;0.0;;;;;;
2021-01-20;0.0;0.0;0.0;;;;;;
2021-01-21;0.0;0.0;0.0;;;;;;
2021-01-22;0.0;0.0;0.0;;;;;;
2021-01-23;0.0;0.0;0.0;;;;;;
2021-01-24;0.0;0.0;0.0;;;;;;
2021-01-25;0.0;0.0;0.0;;;;;;
2021-01-26;0.0;0.0;0.0;;;;;;
2021-01-27;0.0;0.0;0.0;;;;;;
2021-01-28;0.0;0.0;0.0;;;;;;
2021-01-29;0.0;0.0;0.0;;;;;;
2021-01-30;0.0;0.0;0.0;;;;;;
2021-01-31;0.0;0.0;0.0;;;;;;
2021-02-01;0.0;0.0;0.0;;;;;;
2021-02-02;0.0;1.0;0.0;;;;;;
2021-02-03;0.0;2.0;0.0;;;;;;
2021-02-04;0.0;0.0;0.0;;;;;;
2021-02-05;0.0;0.0;0.0;;;;;;
2021-02-06;0.0;0.0;0.0;;;;;;
2021-02-07;0.0;0.0;0.0;;;;;;
2021-02-08;0.0;0.0;0.0;;;;;;
2021-02-09;0.0;1.0;0.0;;;;;;
2021-02-10;0.0;1.0;0.0;;;;;;
2021-02-11;0.0;1.0;0.0;;;;;;
2021-02-12;0.0;1.0;0.0;;;;;;
2021-02-13;0.0;1.0;0.0;;;;;;
2021-02-14;0.0;0.0;0.0;;;;;;
2021-02-15;0.0;1.0;0.0;;;;;;
2021-02-16;0.0;0.0;0.0;;;;;;
2021-02-17;0.0;3.0;0.0;;;;;;
2021-02-18;0.0;1.0;0.0;;;;;;
2021-02-19;0.0;8.0;0.0;;;;;;
2021-02-20;0.0;0.0;0.0;;;;;;
2021-02-21;0.0;0.0;0.0;;;;;;
2021-02-22;0.0;8.0;0.0;;;;;;
2021-02-23;0.0;10.0;0.0;;;;;;
2021-02-24;0.0;7.0;0.0;;;;;;
2021-02-25;0.0;10.0;0.0;;;;;;
2021-02-26;0.0;5.0;0.0;;;;;;
2021-02-27;0.0;0.0;0.0;;;;;;
2021-02-28;0.0;0.0;0.0;;;;;;
2021-03-01;0.0;2.0;0.0;;;;;;
2021-03-02;0.0;1.0;0.0;;;;;;
2021-03-03;0.0;6.0;0.0;;;;;;
2021-03-04;0.0;2.0;0.0;;;;;;
2021-03-05;0.0;2.0;0.0;;;;;;
2021-03-06;0.0;5.0;0.0;;;;;;
2021-03-07;0.0;2.0;0.0;;;;;;
2021-03-08;0.0;5.0;0.0;;;;;;
2021-03-09;0.0;8.0;0.0;;;;;;
2021-03-10;0.0;5.0;0.0;;;;;;
2021-03-11;0.0;7.0;0.0;;;;;;
2021-03-12;0.0;2.0;0.0;;;;;;
2021-03-13;0.0;2.0;0.0;;;;;;
2021-03-14;0.0;0.0;0.0;;;;;;
2021-03-15;0.0;1.0;0.0;;;;;;
2021-03-16;0.0;8.0;0.0;;;;;;
2021-03-17;0.0;3.0;0.0;;;;;;
2021-03-18;0.0;1.0;0.0;;;;;;
2021-03-19;0.0;3.0;0.0;;;;;;
2021-03-20;0.0;1.0;0.0;;;;;;
2021-03-21;0.0;0.0;0.0;;;;;;
2021-03-22;0.0;4.0;0.0;;;;;;
2021-03-23;0.0;1.0;0.0;;;;;;
2021-03-24;0.0;0.0;0.0;;;;;;
2021-03-25;0.0;1.0;0.0;;;;;;
2021-03-26;0.0;5.0;0.0;;;;;;
2021-03-27;0.0;1.0;0.0;;;;;;
2021-03-28;0.0;0.0;0.0;;;;;;
2021-03-29;0.0;1.0;0.0;;;;;;
2021-03-30;0.0;5.0;0.0;;;;;;
2021-03-31;0.0;9.0;0.0;;;;;;
2021-04-01;0.0;3.0;0.0;;;;;;
2021-04-02;0.0;0.0;0.0;;;;;;
2021-04-03;0.0;1.0;0.0;;;;;;
2021-04-04;0.0;0.0;0.0;;;;;;
2021-04-05;1.0;5.0;0.0;;;;;;
2021-04-06;1.0;4.0;0.0;;;;;;
2021-04-07;0.0;1.0;0.0;;;;;;
2021-04-08;0.0;1.0;0.0;;;;;;
2021-04-09;0.0;1.0;0.0;;;;;;
2021-04-10;0.0;0.0;0.0;;;;;;
2021-04-11;0.0;0.0;0.0;;;;;;
2021-04-12;0.0;0.0;0.0;;;;;;
2021-04-13;0.0;3.0;0.0;;;;;;
2021-04-14;0.0;0.0;0.0;;;;;;
2021-04-15;0.0;3.0;0.0;;;;;;
2021-04-16;0.0;1.0;0.0;;;;;;
2021-04-17;0.0;0.0;0.0;;;;;;
2021-04-18;0.0;7.0;0.0;;;;;;
2021-04-19;0.0;1.0;0.0;;;;;;
2021-04-20;0.0;2.0;0.0;;;;;;
2021-04-21;0.0;1.0;0.0;;;;;;
2021-04-22;0.0;0.0;0.0;;;;;;
2021-04-23;1.0;1.0;0.0;;;;;;
2021-04-24;0.0;0.0;0.0;;;;;;
2021-04-25;0.0;0.0;0.0;;;;;;
2021-04-26;0.0;4.0;0.0;;;;;;
2021-04-27;0.0;2.0;0.0;;;;;;
2021-04-28;0.0;6.0;0.0;;;;;;
2021-04-29;0.0;1.0;0.0;;;;;;
2021-04-30;0.0;1.0;0.0;;;;;;
2021-05-01;0.0;0.0;0.0;;;;;;
2021-05-02;0.0;0.0;0.0;;;;;;
2021-05-03;0.0;0.0;0.0;;;;;;
2021-05-04;0.0;0.0;0.0;;;;;;
2021-01-17;;;;0.0;0.0;0.0;;;
2021-01-18;;;;0.0;0.0;0.0;;;
2021-01-19;;;;0.0;0.0;0.0;;;
2021-01-20;;;;0.0;0.0;0.0;;;
2021-01-21;;;;0.0;0.0;0.0;;;
2021-01-22;;;;0.0;0.0;0.0;;;
2021-01-23;;;;0.0;0.0;0.0;;;
2021-01-24;;;;0.0;0.0;0.0;;;
2021-01-25;;;;0.0;0.0;0.0;;;
2021-01-26;;;;0.0;0.0;0.0;;;
2021-01-27;;;;0.0;0.0;0.0;;;
2021-01-28;;;;0.0;0.0;0.0;;;
2021-01-29;;;;0.0;0.0;0.0;;;
2021-01-30;;;;0.0;0.0;0.0;;;
2021-01-31;;;;0.0;0.0;0.0;;;
2021-02-01;;;;0.0;0.0;0.0;;;
2021-02-02;;;;0.0;0.0;0.0;;;
2021-02-03;;;;0.0;0.0;0.0;;;
2021-02-04;;;;0.0;0.0;0.0;;;
2021-02-05;;;;0.0;0.0;0.0;;;
2021-02-06;;;;0.0;0.0;0.0;;;
2021-02-07;;;;0.0;0.0;0.0;;;
2021-02-08;;;;0.0;16.0;0.0;;;
2021-02-09;;;;0.0;64.0;0.0;;;
2021-02-10;;;;0.0;100.0;0.0;;;
2021-02-11;;;;0.0;25.0;0.0;;;
2021-02-12;;;;0.0;50.0;0.0;;;
2021-02-13;;;;0.0;6.0;0.0;;;
2021-02-14;;;;0.0;0.0;0.0;;;
2021-02-15;;;;0.0;34.0;0.0;;;
2021-02-16;;;;0.0;84.0;0.0;;;
2021-02-17;;;;0.0;190.0;0.0;;;
2021-02-18;;;;0.0;424.0;0.0;;;
2021-02-19;;;;0.0;458.0;0.0;;;
2021-02-20;;;;0.0;442.0;0.0;;;
2021-02-21;;;;0.0;0.0;0.0;;;
2021-02-22;;;;0.0;337.0;0.0;;;
2021-02-23;;;;0.0;313.0;0.0;;;
2021-02-24;;;;0.0;679.0;0.0;;;
2021-02-25;;;;0.0;507.0;0.0;;;
2021-02-26;;;;0.0;539.0;0.0;;;
2021-02-27;;;;0.0;587.0;0.0;;;
2021-02-28;;;;0.0;3.0;0.0;;;
2021-03-01;;;;0.0;216.0;0.0;;;
2021-03-02;;;;0.0;246.0;0.0;;;
2021-03-03;;;;0.0;749.0;0.0;;;
2021-03-04;;;;0.0;1217.0;0.0;;;
2021-03-05;;;;0.0;305.0;0.0;;;
2021-03-06;;;;0.0;397.0;0.0;;;
2021-03-07;;;;0.0;8.0;0.0;;;
2021-03-08;;;;0.0;246.0;0.0;;;
2021-03-09;;;;0.0;267.0;0.0;;;
2021-03-10;;;;0.0;619.0;0.0;;;
2021-03-11;;;;0.0;1415.0;0.0;;;
2021-03-12;;;;0.0;1593.0;0.0;;;
2021-03-13;;;;0.0;415.0;0.0;;;
2021-03-14;;;;0.0;2.0;0.0;;;
2021-03-15;;;;0.0;1563.0;0.0;;;
2021-03-16;;;;0.0;1230.0;0.0;;;
2021-03-17;;;;0.0;1000.0;0.0;;;
2021-03-18;;;;0.0;1733.0;0.0;;;
2021-03-19;;;;0.0;1236.0;0.0;;;
2021-03-20;;;;0.0;91.0;0.0;;;
2021-03-21;;;;0.0;0.0;0.0;;;
2021-03-22;;;;0.0;916.0;0.0;;;
2021-03-23;;;;0.0;607.0;0.0;;;
2021-03-24;;;;0.0;611.0;0.0;;;
2021-03-25;;;;0.0;381.0;0.0;;;
2021-03-26;;;;0.0;200.0;0.0;;;
2021-03-27;;;;0.0;13.0;0.0;;;
2021-03-28;;;;0.0;4.0;0.0;;;
2021-03-29;;;;0.0;246.0;0.0;;;
2021-03-30;;;;0.0;475.0;0.0;;;
2021-03-31;;;;0.0;345.0;0.0;;;
