Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;24
1ªDose;2021-01-26;13
1ªDose;2021-01-27;34
1ªDose;2021-01-28;55
1ªDose;2021-02-01;42
1ªDose;2021-02-02;104
1ªDose;2021-02-03;39
1ªDose;2021-02-04;36
1ªDose;2021-02-05;124
1ªDose;2021-02-08;43
1ªDose;2021-02-09;167
1ªDose;2021-02-10;179
1ªDose;2021-02-11;29
1ªDose;2021-02-12;74
1ªDose;2021-02-15;174
1ªDose;2021-02-16;165
1ªDose;2021-02-17;17
1ªDose;2021-02-18;57
1ªDose;2021-02-19;27
1ªDose;2021-02-22;2
1ªDose;2021-02-23;16
1ªDose;2021-02-26;7
1ªDose;2021-03-01;78
1ªDose;2021-03-02;22
1ªDose;2021-03-03;11
1ªDose;2021-03-04;3
1ªDose;2021-03-05;616
1ªDose;2021-03-06;32
1ªDose;2021-03-08;9
1ªDose;2021-03-10;4
1ªDose;2021-03-11;51
1ªDose;2021-03-12;33
1ªDose;2021-03-14;1
1ªDose;2021-03-15;212
1ªDose;2021-03-16;11
1ªDose;2021-03-17;339
1ªDose;2021-03-18;10
1ªDose;2021-03-19;49
1ªDose;2021-03-20;8
1ªDose;2021-03-22;504
1ªDose;2021-03-23;82
1ªDose;2021-03-24;13
1ªDose;2021-03-25;593
1ªDose;2021-03-26;745
1ªDose;2021-03-27;3
1ªDose;2021-03-29;6
1ªDose;2021-03-30;789
1ªDose;2021-03-31;67
1ªDose;2021-04-01;868
1ªDose;2021-04-05;93
1ªDose;2021-04-06;152
1ªDose;2021-04-07;65
1ªDose;2021-04-08;24
1ªDose;2021-04-09;53
1ªDose;2021-04-10;24
1ªDose;2021-04-12;58
1ªDose;2021-04-14;530
1ªDose;2021-04-15;248
1ªDose;2021-04-16;275
1ªDose;2021-04-19;460
1ªDose;2021-04-20;84
1ªDose;2021-04-22;37
1ªDose;2021-04-23;396
1ªDose;2021-04-29;141
1ªDose;2021-04-30;29
2ªDose;2021-01-17;1
2ªDose;2021-01-22;2
2ªDose;2021-01-26;2
2ªDose;2021-02-09;1
2ªDose;2021-02-11;50
2ªDose;2021-02-12;104
2ªDose;2021-02-15;5
2ªDose;2021-02-16;134
2ªDose;2021-02-17;131
2ªDose;2021-02-18;153
2ªDose;2021-02-19;2
2ªDose;2021-02-21;1
2ªDose;2021-02-22;3
2ªDose;2021-02-23;147
2ªDose;2021-02-26;1
2ªDose;2021-03-01;22
2ªDose;2021-03-02;141
2ªDose;2021-03-03;12
2ªDose;2021-03-04;5
2ªDose;2021-03-05;2
2ªDose;2021-03-08;10
2ªDose;2021-03-09;1
2ªDose;2021-03-10;1
2ªDose;2021-03-11;141
2ªDose;2021-03-12;14
2ªDose;2021-03-17;1
2ªDose;2021-03-19;3
2ªDose;2021-03-22;43
2ªDose;2021-03-23;34
2ªDose;2021-03-24;1
2ªDose;2021-03-25;1
2ªDose;2021-03-26;1
2ªDose;2021-03-27;6
2ªDose;2021-03-29;10
2ªDose;2021-03-30;101
2ªDose;2021-04-01;3
2ªDose;2021-04-05;76
2ªDose;2021-04-06;19
2ªDose;2021-04-07;316
2ªDose;2021-04-08;32
2ªDose;2021-04-09;21
2ªDose;2021-04-10;22
2ªDose;2021-04-12;769
2ªDose;2021-04-13;14
2ªDose;2021-04-14;188
2ªDose;2021-04-15;46
2ªDose;2021-04-16;585
2ªDose;2021-04-19;82
2ªDose;2021-04-20;10
2ªDose;2021-04-22;543
2ªDose;2021-04-23;217
2ªDose;2021-04-29;42
