Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;2
1ªDose;2021-01-25;1
1ªDose;2021-01-28;1
1ªDose;2021-01-29;1
1ªDose;2021-02-03;9
1ªDose;2021-02-04;11
1ªDose;2021-02-05;1
1ªDose;2021-02-08;49
1ªDose;2021-02-09;29
1ªDose;2021-02-10;165
1ªDose;2021-02-11;73
1ªDose;2021-02-12;220
1ªDose;2021-02-13;29
1ªDose;2021-02-17;60
1ªDose;2021-02-18;28
1ªDose;2021-02-19;4
1ªDose;2021-02-22;7
1ªDose;2021-02-23;4
1ªDose;2021-02-24;1
1ªDose;2021-02-26;1
1ªDose;2021-03-01;1
1ªDose;2021-03-02;4
1ªDose;2021-03-03;2
1ªDose;2021-03-04;1
1ªDose;2021-03-05;2
1ªDose;2021-03-08;2
1ªDose;2021-03-11;3
1ªDose;2021-03-12;183
1ªDose;2021-03-13;49
1ªDose;2021-03-15;49
1ªDose;2021-03-16;120
1ªDose;2021-03-17;30
1ªDose;2021-03-18;38
1ªDose;2021-03-19;275
1ªDose;2021-03-22;58
1ªDose;2021-03-23;157
1ªDose;2021-03-24;176
1ªDose;2021-03-25;206
1ªDose;2021-03-26;222
1ªDose;2021-03-27;643
1ªDose;2021-03-29;125
1ªDose;2021-03-30;29
1ªDose;2021-03-31;10
1ªDose;2021-04-01;50
1ªDose;2021-04-03;364
1ªDose;2021-04-05;103
1ªDose;2021-04-06;1
1ªDose;2021-04-07;1
1ªDose;2021-04-08;10
1ªDose;2021-04-10;9
1ªDose;2021-04-12;2
1ªDose;2021-04-14;12
1ªDose;2021-04-16;1
1ªDose;2021-04-24;1
1ªDose;2021-04-28;9
2ªDose;2021-02-18;42
2ªDose;2021-02-19;62
2ªDose;2021-02-22;40
2ªDose;2021-02-23;151
2ªDose;2021-02-24;23
2ªDose;2021-02-25;8
2ªDose;2021-02-26;9
2ªDose;2021-03-01;14
2ªDose;2021-03-03;12
2ªDose;2021-03-04;7
2ªDose;2021-03-05;5
2ªDose;2021-03-08;34
2ªDose;2021-03-09;36
2ªDose;2021-03-10;121
2ªDose;2021-03-11;103
2ªDose;2021-03-12;219
2ªDose;2021-03-15;34
2ªDose;2021-03-16;2
2ªDose;2021-03-17;70
2ªDose;2021-03-18;21
2ªDose;2021-03-22;9
2ªDose;2021-03-23;9
2ªDose;2021-03-26;17
2ªDose;2021-03-29;11
2ªDose;2021-03-30;4
2ªDose;2021-03-31;2
2ªDose;2021-04-01;2
2ªDose;2021-04-03;1
2ªDose;2021-04-05;4
2ªDose;2021-04-06;1
2ªDose;2021-04-08;2
2ªDose;2021-04-09;201
2ªDose;2021-04-10;27
2ªDose;2021-04-12;51
2ªDose;2021-04-13;123
2ªDose;2021-04-14;27
2ªDose;2021-04-15;60
2ªDose;2021-04-16;254
2ªDose;2021-04-17;1
2ªDose;2021-04-19;56
2ªDose;2021-04-20;184
2ªDose;2021-04-22;241
2ªDose;2021-04-23;411
2ªDose;2021-04-24;23
