Dose Aplicada;Data;Quantidade
1ªDose;2021-01-23;1
1ªDose;2021-02-01;5
1ªDose;2021-02-03;2
1ªDose;2021-02-05;4
1ªDose;2021-02-06;1
1ªDose;2021-02-08;4
1ªDose;2021-02-09;1
1ªDose;2021-02-10;4
1ªDose;2021-02-11;15
1ªDose;2021-02-12;9
1ªDose;2021-02-13;37
1ªDose;2021-02-14;1
1ªDose;2021-02-15;5
1ªDose;2021-02-16;4
1ªDose;2021-02-19;3
1ªDose;2021-02-22;8
1ªDose;2021-02-23;11
1ªDose;2021-02-24;1
1ªDose;2021-02-26;31
1ªDose;2021-02-27;27
1ªDose;2021-03-01;10
1ªDose;2021-03-02;36
1ªDose;2021-03-03;32
1ªDose;2021-03-04;30
1ªDose;2021-03-05;17
1ªDose;2021-03-06;6
1ªDose;2021-03-09;16
1ªDose;2021-03-10;18
1ªDose;2021-03-11;132
1ªDose;2021-03-12;27
1ªDose;2021-03-13;1
1ªDose;2021-03-15;14
1ªDose;2021-03-16;12
1ªDose;2021-03-17;7
1ªDose;2021-03-18;157
1ªDose;2021-03-19;4
1ªDose;2021-03-20;20
1ªDose;2021-03-21;1
1ªDose;2021-03-22;4
1ªDose;2021-03-24;82
1ªDose;2021-03-25;223
1ªDose;2021-03-26;64
1ªDose;2021-03-29;69
1ªDose;2021-03-30;144
1ªDose;2021-03-31;3
1ªDose;2021-04-01;101
1ªDose;2021-04-03;64
1ªDose;2021-04-05;13
1ªDose;2021-04-06;13
1ªDose;2021-04-07;86
1ªDose;2021-04-08;198
1ªDose;2021-04-09;155
1ªDose;2021-04-10;42
1ªDose;2021-04-12;44
1ªDose;2021-04-13;45
1ªDose;2021-04-14;75
1ªDose;2021-04-15;72
1ªDose;2021-04-16;18
1ªDose;2021-04-17;3
1ªDose;2021-04-19;5
1ªDose;2021-04-20;4
1ªDose;2021-04-22;4
1ªDose;2021-04-27;11
1ªDose;2021-04-29;2
1ªDose;2021-04-30;6
2ªDose;2021-01-29;1
2ªDose;2021-02-03;1
2ªDose;2021-02-08;1
2ªDose;2021-02-10;2
2ªDose;2021-02-12;7
2ªDose;2021-02-13;3
2ªDose;2021-02-15;5
2ªDose;2021-02-16;4
2ªDose;2021-02-19;11
2ªDose;2021-02-22;10
2ªDose;2021-02-23;6
2ªDose;2021-02-26;12
2ªDose;2021-02-27;3
2ªDose;2021-03-01;4
2ªDose;2021-03-02;1
2ªDose;2021-03-03;8
2ªDose;2021-03-04;7
2ªDose;2021-03-05;6
2ªDose;2021-03-06;40
2ªDose;2021-03-08;5
2ªDose;2021-03-09;3
2ªDose;2021-03-10;1
2ªDose;2021-03-11;1
2ªDose;2021-03-12;8
2ªDose;2021-03-15;4
2ªDose;2021-03-16;9
2ªDose;2021-03-17;1
2ªDose;2021-03-18;38
2ªDose;2021-03-19;33
2ªDose;2021-03-22;12
2ªDose;2021-03-24;63
2ªDose;2021-03-25;30
2ªDose;2021-03-26;15
2ªDose;2021-03-29;6
2ªDose;2021-03-30;23
2ªDose;2021-03-31;5
2ªDose;2021-04-01;10
2ªDose;2021-04-03;7
2ªDose;2021-04-04;1
2ªDose;2021-04-05;9
2ªDose;2021-04-06;27
2ªDose;2021-04-07;83
2ªDose;2021-04-08;82
2ªDose;2021-04-09;23
2ªDose;2021-04-10;2
2ªDose;2021-04-12;14
2ªDose;2021-04-13;16
2ªDose;2021-04-14;53
2ªDose;2021-04-15;118
2ªDose;2021-04-16;82
2ªDose;2021-04-17;11
2ªDose;2021-04-19;43
2ªDose;2021-04-20;25
2ªDose;2021-04-22;94
2ªDose;2021-04-23;40
2ªDose;2021-04-27;36
2ªDose;2021-04-28;43
2ªDose;2021-04-29;137
2ªDose;2021-04-30;67
