index;count
2021-05-24;39
2021-05-25;59
2021-05-26;62
2021-05-27;62
2021-05-28;62
2021-05-29;62
2021-05-30;62
2021-05-31;62
2021-06-01;62
2021-06-02;62
2021-06-03;62
2021-06-04;62
2021-06-05;62
2021-06-06;62
2021-06-07;62
2021-06-08;62
2021-06-09;62
2021-06-10;62
2021-06-11;62
2021-06-12;62
2021-06-13;62
2021-06-14;62
2021-06-15;62
2021-06-16;62
2021-06-17;62
2021-06-18;62
2021-06-19;62
2021-06-20;62
2021-06-21;62
2021-06-22;62
2021-06-23;62
2021-06-24;62
2021-06-25;62
2021-06-26;62
2021-06-27;62
2021-06-28;62
2021-06-29;62
2021-06-30;62
2021-07-01;62
2021-07-02;62
2021-07-03;62
2021-07-04;62
2021-07-05;62
2021-07-06;62
2021-07-07;62
2021-07-08;62
2021-07-09;62
2021-07-10;62
2021-07-11;62
2021-07-12;62
2021-07-13;62
2021-07-14;62
2021-07-15;62
2021-07-16;63
2021-07-17;63
2021-07-18;63
2021-07-19;154
2021-07-20;191
2021-07-21;260
2021-07-22;260
2021-07-23;264
