Dose Aplicada;Data;Quantidade
1ªDose;2021-01-18;1
1ªDose;2021-01-19;70
1ªDose;2021-01-20;490
1ªDose;2021-01-21;374
1ªDose;2021-01-22;197
1ªDose;2021-01-23;252
1ªDose;2021-01-25;148
1ªDose;2021-01-26;242
1ªDose;2021-01-27;61
1ªDose;2021-01-28;1
1ªDose;2021-02-02;213
1ªDose;2021-02-03;197
1ªDose;2021-02-04;124
1ªDose;2021-02-05;174
1ªDose;2021-02-08;101
1ªDose;2021-02-09;250
1ªDose;2021-02-10;238
1ªDose;2021-02-11;188
1ªDose;2021-02-12;156
1ªDose;2021-02-13;23
1ªDose;2021-02-15;165
1ªDose;2021-02-16;63
1ªDose;2021-02-17;109
1ªDose;2021-02-18;7
1ªDose;2021-02-19;28
1ªDose;2021-02-20;1
1ªDose;2021-02-22;10
1ªDose;2021-02-23;2
1ªDose;2021-02-24;1
1ªDose;2021-02-25;12
1ªDose;2021-02-26;9
1ªDose;2021-02-28;10
1ªDose;2021-03-01;12
1ªDose;2021-03-02;7
1ªDose;2021-03-03;15
1ªDose;2021-03-04;90
1ªDose;2021-03-05;1529
1ªDose;2021-03-07;20
1ªDose;2021-03-08;29
1ªDose;2021-03-09;79
1ªDose;2021-03-10;47
1ªDose;2021-03-11;31
1ªDose;2021-03-12;523
1ªDose;2021-03-13;823
1ªDose;2021-03-15;467
1ªDose;2021-03-16;448
1ªDose;2021-03-17;14
1ªDose;2021-03-18;940
1ªDose;2021-03-19;913
1ªDose;2021-03-21;4
1ªDose;2021-03-22;923
1ªDose;2021-03-23;1029
1ªDose;2021-03-24;1422
1ªDose;2021-03-25;112
1ªDose;2021-03-26;105
1ªDose;2021-03-27;114
1ªDose;2021-03-29;2081
1ªDose;2021-03-30;464
1ªDose;2021-03-31;150
1ªDose;2021-04-01;10
1ªDose;2021-04-03;389
1ªDose;2021-04-05;978
1ªDose;2021-04-06;5
1ªDose;2021-04-07;6
1ªDose;2021-04-08;22
1ªDose;2021-04-09;1123
1ªDose;2021-04-10;121
1ªDose;2021-04-12;269
1ªDose;2021-04-13;71
1ªDose;2021-04-14;18
1ªDose;2021-04-15;34
1ªDose;2021-04-16;37
1ªDose;2021-04-17;6
1ªDose;2021-04-19;34
1ªDose;2021-04-20;27
1ªDose;2021-04-22;15
1ªDose;2021-04-23;23
1ªDose;2021-04-24;3
1ªDose;2021-04-26;4
1ªDose;2021-04-27;11
2ªDose;2021-01-22;1
2ªDose;2021-02-02;1
2ªDose;2021-02-03;1
2ªDose;2021-02-10;1
2ªDose;2021-02-12;1
2ªDose;2021-02-13;1
2ªDose;2021-02-17;15
2ªDose;2021-02-18;157
2ªDose;2021-02-19;679
2ªDose;2021-02-20;177
2ªDose;2021-02-21;14
2ªDose;2021-02-22;659
2ªDose;2021-02-23;571
2ªDose;2021-02-24;268
2ªDose;2021-02-25;164
2ªDose;2021-02-26;74
2ªDose;2021-02-27;6
2ªDose;2021-02-28;1
2ªDose;2021-03-01;38
2ªDose;2021-03-02;41
2ªDose;2021-03-03;138
2ªDose;2021-03-04;155
2ªDose;2021-03-05;220
2ªDose;2021-03-06;1
2ªDose;2021-03-07;3
2ªDose;2021-03-08;90
2ªDose;2021-03-09;121
2ªDose;2021-03-10;157
2ªDose;2021-03-11;305
2ªDose;2021-03-12;312
2ªDose;2021-03-13;63
2ªDose;2021-03-15;146
2ªDose;2021-03-16;71
2ªDose;2021-03-17;11
2ªDose;2021-03-18;88
2ªDose;2021-03-19;39
2ªDose;2021-03-20;64
2ªDose;2021-03-22;71
2ªDose;2021-03-23;21
2ªDose;2021-03-24;35
2ªDose;2021-03-25;10
2ªDose;2021-03-26;16
2ªDose;2021-03-27;6
2ªDose;2021-03-29;36
2ªDose;2021-03-30;20
2ªDose;2021-03-31;12
2ªDose;2021-04-01;6
2ªDose;2021-04-03;477
2ªDose;2021-04-05;452
2ªDose;2021-04-06;32
2ªDose;2021-04-07;57
2ªDose;2021-04-08;49
2ªDose;2021-04-09;269
2ªDose;2021-04-10;265
2ªDose;2021-04-12;580
2ªDose;2021-04-13;390
2ªDose;2021-04-14;127
2ªDose;2021-04-15;507
2ªDose;2021-04-16;820
2ªDose;2021-04-17;54
2ªDose;2021-04-19;672
2ªDose;2021-04-20;468
2ªDose;2021-04-21;273
2ªDose;2021-04-22;490
2ªDose;2021-04-23;308
2ªDose;2021-04-24;70
2ªDose;2021-04-26;140
2ªDose;2021-04-27;117
2ªDose;2021-04-29;1
