;Covid-19-Coronavac-Sinovac/Butantan;Covid-19-AstraZeneca
2021-03-20;0.0;
2021-03-21;0.0;
2021-03-22;0.0;
2021-03-23;0.0;
2021-03-24;0.0;
2021-03-25;0.0;
2021-03-26;0.0;
2021-03-27;0.0;
2021-03-28;0.0;
2021-03-29;0.0;
2021-03-30;0.0;
2021-03-31;0.0;
2021-04-01;0.0;
2021-04-02;0.0;
2021-04-03;0.0;
2021-04-04;0.0;
2021-04-05;0.0;
2021-04-06;0.0;
2021-04-07;0.0;
2021-04-08;0.0;
2021-04-09;0.0;
2021-04-10;0.0;
2021-04-11;0.0;
2021-04-12;0.0;
2021-04-13;0.0;
2021-04-14;0.0;
2021-04-15;0.0;
2021-04-16;0.0;
2021-04-17;1.941747572815534;
2021-04-18;2.1739130434782608;
2021-04-19;2.1739130434782608;
2021-04-20;2.1739130434782608;
2021-04-21;1.7647058823529411;
2021-04-22;1.694915254237288;
2021-04-23;1.694915254237288;
2021-04-24;1.6129032258064515;
2021-04-25;1.6129032258064515;
2021-04-26;1.6129032258064515;
2021-04-27;0.0;
2021-04-28;0.0;
2021-04-29;0.0;
2021-04-30;0.0;
2021-05-01;0.0;
2021-05-02;0.0;
2021-05-03;0.0;
2021-05-04;0.0;
