;neg-Covid-19-AstraZeneca;neg-Covid-19-Coronavac-Sinovac/Butantan;neg-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer;nul-Covid-19-AstraZeneca;nul-Covid-19-Coronavac-Sinovac/Butantan;nul-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer;pos-Covid-19-AstraZeneca;pos-Covid-19-Coronavac-Sinovac/Butantan;pos-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer
2021-03-11;;;;;;;0.0;74.0;0.0
2021-03-12;;;;;;;0.0;61.0;0.0
2021-03-13;;;;;;;0.0;61.0;0.0
2021-03-14;;;;;;;0.0;61.0;0.0
2021-03-15;;;;;;;0.0;63.0;0.0
2021-03-16;;;;;;;0.0;59.0;0.0
2021-03-17;;;;;;;0.0;48.0;0.0
2021-03-18;;;;;;;0.0;47.0;0.0
2021-03-19;;;;;;;0.0;40.0;0.0
2021-03-20;;;;;;;0.0;39.0;0.0
2021-03-21;;;;;;;0.0;39.0;0.0
2021-03-22;;;;;;;0.0;36.0;0.0
2021-03-23;;;;;;;0.0;42.0;0.0
2021-03-24;;;;;;;0.0;35.0;0.0
2021-03-25;;;;;;;0.0;33.0;0.0
2021-03-26;;;;;;;0.0;20.0;0.0
2021-03-27;;;;;;;0.0;20.0;0.0
2021-03-28;;;;;;;0.0;20.0;0.0
2021-03-29;;;;;;;0.0;17.0;0.0
2021-03-30;;;;;;;0.0;16.0;0.0
2021-03-31;;;;;;;0.0;15.0;0.0
2021-04-01;;;;;;;0.0;26.0;0.0
2021-04-02;;;;;;;0.0;72.0;0.0
2021-04-03;;;;;;;0.0;123.0;0.0
2021-04-04;;;;;;;0.0;123.0;0.0
2021-04-05;;;;;;;0.0;69.0;0.0
2021-04-06;;;;;;;0.0;46.0;0.0
2021-04-07;;;;;;;0.0;34.0;0.0
2021-04-08;;;;;;;0.0;42.0;0.0
2021-04-09;;;;;;;0.0;41.0;0.0
2021-04-10;;;;;;;0.0;37.0;0.0
2021-04-11;;;;;;;0.0;35.0;0.0
2021-04-12;;;;;;;0.0;39.0;0.0
2021-04-13;;;;;;;0.0;44.0;0.0
2021-04-14;;;;;;;0.0;39.0;0.0
2021-04-15;;;;;;;0.0;34.0;0.0
2021-04-16;;;;;;;0.0;134.0;0.0
2021-04-17;;;;;;;0.0;565.0;0.0
2021-04-18;;;;;;;0.0;697.0;0.0
2021-04-19;;;;;;;0.0;327.0;0.0
2021-04-20;;;;;;;0.0;128.0;0.0
2021-04-21;;;;;;;177.0;196.0;0.0
2021-04-22;;;;;;;192.0;163.0;0.0
2021-04-23;;;;;;;206.0;200.0;0.0
2021-04-24;;;;;;;178.0;206.0;0.0
2021-04-25;;;;;;;178.0;579.0;0.0
2021-04-26;;;;;;;162.0;107.0;0.0
2021-04-27;;;;;;;123.0;93.0;0.0
2021-04-28;;;;;;;47.0;93.0;0.0
2021-04-29;;;;;;;27.0;93.0;0.0
2021-04-30;;;;;;;10.0;49.0;0.0
2021-05-01;;;;;;;0.0;0.0;0.0
2021-05-02;;;;;;;0.0;0.0;0.0
2021-05-03;;;;;;;0.0;0.0;0.0
2021-05-04;;;;;;;0.0;0.0;0.0
